town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
New_Canaan,3.0,52.0,0.0,4.0,0.0,26.0,8.0,13.0,0.0,9.0,1.0,7.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,146.0
New_Fairfield,1.0,9.0,1.0,0.0,0.0,2.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,8.0,39.0
New_Hartford,1.0,3.0,0.0,1.0,0.0,4.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,4.0,0.0,0.0,3.0,10.0,47.0
New_Haven,163.0,2689.0,0.0,48.0,0.0,127.0,1492.0,485.0,0.0,92.0,37.0,16.0,0.0,464.0,13.0,0.0,1.0,0.0,21.0,0.0,59.0,0.0,8.0,1078.0,0.0,1.0,172.0,58.0,1087.0,6861.0
Newington,133.0,314.0,0.0,44.0,0.0,101.0,20.0,107.0,0.0,35.0,4.0,11.0,0.0,221.0,5.0,4.0,1.0,0.0,0.0,9.0,15.0,0.0,4.0,4.0,4.0,0.0,19.0,10.0,18.0,932.0
New_London,56.0,62.0,0.0,13.0,0.0,3.0,63.0,159.0,1.0,13.0,2.0,4.0,0.0,88.0,0.0,9.0,1.0,0.0,0.0,4.0,9.0,1.0,9.0,278.0,3.0,0.0,61.0,30.0,292.0,813.0
New_Milford,5.0,234.0,0.0,1.0,0.0,48.0,11.0,25.0,0.0,30.0,2.0,9.0,0.0,101.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,189.0,1.0,0.0,10.0,7.0,193.0,676.0
Newtown,2.0,47.0,0.0,7.0,0.0,47.0,9.0,9.0,0.0,3.0,0.0,5.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,5.0,32.0,191.0
Norfolk,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0
North_Branford,0.0,52.0,0.0,8.0,0.0,39.0,53.0,1.0,0.0,7.0,0.0,1.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,32.0,0.0,0.0,7.0,0.0,35.0,223.0
North_Canaan,0.0,38.0,0.0,4.0,0.0,6.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,88.0
North_Haven,4.0,68.0,0.0,24.0,0.0,29.0,58.0,12.0,0.0,12.0,6.0,6.0,0.0,86.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,15.0,0.0,0.0,3.0,0.0,17.0,331.0
North_Stonington,2.0,19.0,0.0,2.0,0.0,17.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,63.0
Norwalk,101.0,502.0,3.0,30.0,0.0,151.0,82.0,177.0,14.0,34.0,23.0,19.0,0.0,303.0,3.0,7.0,0.0,0.0,30.0,3.0,25.0,0.0,6.0,584.0,7.0,0.0,34.0,18.0,593.0,2055.0
Norwich,74.0,1026.0,2.0,35.0,0.0,173.0,47.0,190.0,2.0,58.0,16.0,22.0,0.0,158.0,18.0,3.0,3.0,0.0,2.0,5.0,19.0,0.0,4.0,580.0,11.0,0.0,34.0,25.0,592.0,2433.0
Old_Lyme,1.0,17.0,0.0,3.0,0.0,30.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,77.0
Old_Saybrook,9.0,124.0,0.0,3.0,0.0,84.0,50.0,29.0,0.0,0.0,1.0,1.0,0.0,56.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,6.0,1.0,37.0,395.0
Orange,0.0,108.0,0.0,10.0,0.0,48.0,23.0,39.0,12.0,0.0,3.0,16.0,0.0,124.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,23.0,2.0,0.0,1.0,0.0,25.0,419.0
Oxford,1.0,10.0,0.0,3.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,10.0,66.0
Plainfield,2.0,194.0,0.0,1.0,0.0,98.0,8.0,13.0,0.0,7.0,1.0,1.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,66.0,1.0,0.0,4.0,2.0,71.0,419.0
Plainville,44.0,229.0,1.0,15.0,0.0,64.0,137.0,94.0,2.0,0.0,3.0,3.0,0.0,111.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,45.0,0.0,0.0,17.0,7.0,46.0,734.0
Plymouth,0.0,133.0,0.0,2.0,0.0,45.0,46.0,33.0,0.0,18.0,1.0,4.0,0.0,22.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,2.0,4.0,38.0,359.0
Pomfret,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
Portland,1.0,19.0,0.0,9.0,0.0,9.0,24.0,12.0,0.0,2.0,8.0,5.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,2.0,3.0,133.0
Preston,3.0,16.0,0.0,0.0,0.0,22.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,8.0,73.0
Prospect,3.0,5.0,0.0,2.0,0.0,7.0,8.0,1.0,0.0,7.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,9.0,50.0
Putnam_Municipal,7.0,74.0,1.0,0.0,0.0,50.0,17.0,21.0,0.0,9.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,2.0,0.0,5.0,0.0,53.0,245.0
Putnam,0.0,12.0,0.0,0.0,0.0,11.0,2.0,6.0,2.0,0.0,4.0,0.0,0.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,82.0
Redding,0.0,4.0,0.0,5.0,0.0,11.0,7.0,4.0,0.0,1.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0
Ridgefield,0.0,34.0,0.0,5.0,0.0,40.0,26.0,15.0,0.0,6.0,3.0,4.0,0.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,7.0,0.0,24.0,199.0
Rocky_Hill,0.0,135.0,0.0,2.0,0.0,46.0,36.0,18.0,0.0,34.0,0.0,2.0,0.0,130.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,14.0,423.0
Roxbury,0.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0
Salem,0.0,11.0,0.0,4.0,0.0,7.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0
