Year,Town_Code,town,2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA/_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,Percent_Affordable,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
2017,48,Ellington,6665,260.0,7,97,0,364,5.46,1.0,11.0,0.0,9.0,0.0,25.0,26.0,4.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,1.0,28.0,117.0
2017,49,Enfield,17558,1340.0,226,582,7,2155,12.27,44.0,526.0,0.0,58.0,0.0,227.0,117.0,45.0,0.0,5.0,38.0,19.0,0.0,20.0,5.0,6.0,1.0,0.0,0.0,3.0,11.0,0.0,8.0,239.0,141.0,1.0,31.0,21.0,251.0,1522.0
2017,50,Essex,3261,58.0,3,13,0,74,2.27,0.0,3.0,0.0,1.0,0.0,9.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,42.0
2017,51,Fairfield,21648,218.0,108,49,112,487,2.25,12.0,183.0,0.0,30.0,0.0,75.0,31.0,76.0,7.0,4.0,29.0,14.0,0.0,168.0,2.0,17.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,125.0,0.0,0.0,6.0,7.0,125.0,781.0
2017,52,Farmington,11106,470.0,114,125,155,864,7.78,6.0,89.0,0.0,9.0,0.0,94.0,48.0,35.0,3.0,8.0,4.0,12.0,0.0,187.0,2.0,17.0,0.0,0.0,2.0,1.0,4.0,0.0,4.0,44.0,0.0,0.0,6.0,5.0,49.0,574.0
2017,53,Franklin,771,27.0,1,21,0,49,6.36,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,17.0
2017,54,Glastonbury,13656,582.0,42,107,2,733,5.37,9.0,156.0,0.0,17.0,0.0,73.0,24.0,56.0,1.0,0.0,14.0,9.0,0.0,56.0,2.0,8.0,0.0,0.0,0.0,5.0,7.0,0.0,3.0,111.0,5.0,0.0,1.0,1.0,119.0,549.0
2017,55,Goshen,1664,1.0,1,4,0,6,0.36,0.0,8.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,30.0
2017,56,Granby,4360,85.0,2,43,5,135,3.1,0.0,56.0,0.0,5.0,0.0,19.0,5.0,19.0,0.0,1.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,1.0,17.0,142.0
2017,57,Greenwich,25631,865.0,383,12,27,1287,5.02,10.0,149.0,0.0,31.0,0.0,61.0,84.0,41.0,1.0,16.0,14.0,6.0,0.0,58.0,0.0,5.0,1.0,0.0,3.0,1.0,12.0,0.0,1.0,31.0,0.0,0.0,13.0,5.0,34.0,533.0
2017,58,Griswold,5118,148.0,54,186,0,388,7.58,7.0,41.0,0.0,3.0,0.0,32.0,11.0,7.0,0.0,6.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,40.0,0.0,0.0,5.0,1.0,42.0,158.0
2017,60,Guilford,9596,186.0,8,34,0,228,2.38,1.0,55.0,0.0,11.0,0.0,36.0,34.0,6.0,1.0,16.0,0.0,9.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0,3.0,12.0,228.0
2017,61,Haddam,3504,22.0,0,27,0,49,1.4,0.0,4.0,0.0,3.0,0.0,19.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,0.0,24.0,68.0
