town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Griswold_CSP,10.0,31.0,0.0,6.0,0.0,29.0,16.0,8.0,0.0,2.0,4.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,1.0,0.0,4.0,0.0,46.0,168.0
Groton_City_PD,5.0,114.0,0.0,2.0,0.0,37.0,4.0,36.0,1.0,10.0,0.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,159.0,3.0,0.0,15.0,11.0,161.0,413.0
Guilford_PD,9.0,97.0,0.0,10.0,0.0,53.0,42.0,14.0,0.0,8.0,0.0,9.0,0.0,58.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,5.0,1.0,13.0,313.0
Haddam_CSP,9.0,6.0,0.0,4.0,0.0,25.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,1.0,23.0,79.0
Hamden_PD,99.0,199.0,0.0,27.0,0.0,45.0,192.0,150.0,5.0,3.0,4.0,14.0,0.0,247.0,6.0,7.0,1.0,0.0,0.0,3.0,43.0,0.0,6.0,57.0,1.0,0.0,32.0,16.0,67.0,1058.0
Hampton_CSP,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0
Hartford_PD,422.0,3825.0,24.0,342.0,0.0,306.0,2171.0,2634.0,0.0,113.0,86.0,86.0,0.0,998.0,53.0,86.0,56.0,1.0,138.0,48.0,230.0,0.0,51.0,3093.0,40.0,0.0,62.0,151.0,3249.0,14594.0
Hartland_CSP,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,16.0
Harwinton_CSP,1.0,21.0,0.0,1.0,0.0,28.0,3.0,32.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,1.0,2.0,12.0,116.0
Hebron_CSP,0.0,10.0,1.0,2.0,0.0,20.0,8.0,8.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,0.0,6.0,2.0,12.0,84.0
